function,F,CR,run,best_fitness
Rastrigin,0.6,0.3,1,121.437
Rastrigin,0.6,0.3,2,99.5943
Rastrigin,0.6,0.3,3,86.2823
Rastrigin,0.6,0.3,4,91.2289
Rastrigin,0.6,0.3,5,116.148
Rastrigin,0.6,0.3,6,95.591
Rastrigin,0.6,0.3,7,105.502
Rastrigin,0.6,0.3,8,97.9633
Rastrigin,0.6,0.3,9,106.433
Rastrigin,0.6,0.3,10,98.4027
Rastrigin,0.6,0.5,1,150.88
Rastrigin,0.6,0.5,2,148.66
Rastrigin,0.6,0.5,3,174.648
Rastrigin,0.6,0.5,4,157.508
Rastrigin,0.6,0.5,5,162.112
Rastrigin,0.6,0.5,6,167.719
Rastrigin,0.6,0.5,7,166.971
Rastrigin,0.6,0.5,8,143.101
Rastrigin,0.6,0.5,9,159.345
Rastrigin,0.6,0.5,10,158.958
Rastrigin,0.6,0.7,1,192.902
Rastrigin,0.6,0.7,2,191.513
Rastrigin,0.6,0.7,3,203.967
Rastrigin,0.6,0.7,4,172.032
Rastrigin,0.6,0.7,5,185.828
Rastrigin,0.6,0.7,6,176.302
Rastrigin,0.6,0.7,7,199.554
Rastrigin,0.6,0.7,8,189.99
Rastrigin,0.6,0.7,9,217.986
Rastrigin,0.6,0.7,10,207.236
Rastrigin,0.6,0.9,1,210.797
Rastrigin,0.6,0.9,2,184.638
Rastrigin,0.6,0.9,3,166.195
